ID Action,Axe,Objectif stratégique,Action originale,Action originale EN,Chantier suggéré,Confiance,Raison,Action réécrite,Action réécrite EN,Statut analyse,Projet,Nom projet,Description projet,Description projet EN,Notes analyse,Coordination,Destination,Approuvé,Statut objectif
PD-SCI-OS1-b,Principe directeur : Science ouverte,Favoriser la mise en place d'un référentiel commun et accessible pour la science ouverte,"Réaliser une veille des initiatives existantes internationales et nationales, à la fois les énoncés de principes (UNESCO, NASA Open Science, Tri-Council,) et les outils (Zenodo, Software Heritage, etc.) en science ouverte","Conduct a watch of existing international and national initiatives, including policy statements (UNESCO, NASA Open Science, Tri-Council) and tools (Zenodo, Software Heritage, etc.) in open science",Répertoires & Cartographie,CLAIR,Veille des initiatives = répertoire,,,,R3,Répertoire des outils et ressources thématiques,"Inventaire des outils, méthodes et ressources existants par thématique transversale (EDIA, engagement citoyen, science ouverte, etc.).","Inventory of existing tools, methods and resources by cross-cutting theme (EDIA, citizen engagement, open science, etc.).",Veille internationale — énoncés de principes et outils en science ouverte.,,,oui,non démarré
PD-SCI-OS1-c,Principe directeur : Science ouverte,Favoriser la mise en place d'un référentiel commun et accessible pour la science ouverte,Regarder les initiatives au Québec en particulier (spécificités de ces pratiques dans le cadre juridique et éthique et enseignements tirés),"Look at Québec initiatives in particular (specifics of these practices in the legal and ethical framework, and lessons learned)",Répertoires & Cartographie,CLAIR,Initiatives QC = répertoire,,,,R3,Répertoire des outils et ressources thématiques,"Inventaire des outils, méthodes et ressources existants par thématique transversale (EDIA, engagement citoyen, science ouverte, etc.).","Inventory of existing tools, methods and resources by cross-cutting theme (EDIA, citizen engagement, open science, etc.).",Volet québécois de la veille — spécificités juridiques et éthiques.,,,oui,non démarré
PD-SCI-OS2-a,Principe directeur : Science ouverte,Améliorer l'accessibilité et l'utilisation de la recherche en santé numérique,Créer un espace GitHub RSN avec un modèle de gouvernance et le diffuser dans la communauté,Create an RSN GitHub space with a governance model and roll it out across the community,Guides & Outils,CLAIR,Espace GitHub = outil,,,keep,G4,Infrastructure Science ouverte,Mettre en place les espaces et outils partagés pour la science ouverte — transversale à tous les projets RSN.,Set up shared spaces and tools for open science — cross-cutting across all RSN projects.,Clair et bien placé ici.,,,oui,en cours
PD-SCI-OS2-b,Principe directeur : Science ouverte,Améliorer l'accessibilité et l'utilisation de la recherche en santé numérique,"Partager des packages R et Python, par exemple, avec la communauté","Share R and Python packages, for example, with the community",Guides & Outils,CLAIR,Dépôt central de packages = infrastructure tangible avec gouvernance,Mettre en place un dépôt RSN central de packages R/Python avec processus de revue et de versioning,"Share R and Python packages, for example, with the community",rewrite,G4,Infrastructure Science ouverte,Mettre en place les espaces et outils partagés pour la science ouverte — transversale à tous les projets RSN.,Set up shared spaces and tools for open science — cross-cutting across all RSN projects.,"Reformulée pour transformer l'intention vague (« partager des packages ») en livrable infrastructure tangible avec processus opérationnels (revue, versioning). Reste en G4 — cohérent avec l'espace GitHub RSN (PD-SCI-OS2-a).",,,oui,non démarré
PD-SCI-OS2-c,Principe directeur : Science ouverte,Améliorer l'accessibilité et l'utilisation de la recherche en santé numérique,Proposer des formations pratiques sur des outils comme le rmarkdown et quarto pour la documentation des données,Offer hands-on training on tools such as rmarkdown and quarto for data documentation,Répertoires & Cartographie,CLAIR,Inventorier avant de proposer = répertoire des formations existantes,"Inventorier les formations existantes en science ouverte (rmarkdown, quarto, outils de documentation des données, etc.) avant de proposer de nouvelles formations",Offer hands-on training on tools such as rmarkdown and quarto for data documentation,rewrite,R2,Inventaire des formations en santé numérique,"Inventaire structuré des programmes de formation existants en santé numérique, avec analyse du paysage et des lacunes.","Structured inventory of existing training programs in digital health, with landscape and gap analysis.",Reformulée et déplacée de C4-1 vers R2 : il faut d'abord inventorier l'existant avant de proposer de nouvelles formations. Comble le gap GAP-R2-SCI (PD Science ouverte absent de R2) qui est désormais supprimé. À discuter dans le mail pour valider l'ordre logique.,,,oui,non démarré
PD-SCI-OS3-a,Principe directeur : Science ouverte,Promouvoir une culture de la science ouverte au sein du réseau et à l'externe,"Développer des connaissances accessibles pour les chercheurs et chercheuses sur ce qu'est la science ouverte et comment s'y prendre concrètement (capsules, guides)","Develop accessible knowledge for researchers on what open science is and how to actually do it (briefs, guides)",Formation & Relève,CLAIR,Capsules et guides explicatifs pour chercheur.e.s = ressources éducatives,,,keep,F1,Formations et ressources éducatives,"Capsules, webinaires, guides pratiques et ressources en ligne créées par le RSN.","Modules, webinars, practical guides and online resources created by the RSN.",Déplacée de G4 (Infrastructure) vers C4-1 (Formations et ressources éducatives) : capsules + guides explicatifs sont des ressources pédagogiques pour la communauté de recherche.,,,oui,en cours
PD-SCI-OS3-b,Principe directeur : Science ouverte,Promouvoir une culture de la science ouverte au sein du réseau et à l'externe,"Organiser un événement annuel « Journée science ouverte » au RSN (partage d'expériences, démos)","Organize an annual “Open Science Day” event at the RSN (experience-sharing, demos)",Événements & Rayonnement,CLAIR,Journée annuelle = événement,,,,Év1,Événements organisés par le RSN,"Colloques, journées thématiques, ateliers et événements produits ou co-produits par le réseau.","Colloquia, thematic days, workshops and events produced or co-produced by the network.",,,,oui,non démarré
PD-EDIA-OS1-a,Principe directeur : EDIA,Favoriser une culture inclusive et respectueuse,Élaborer un formulaire d'auto-identification pour le RSN,Develop a self-identification form for the RSN,Écoute et Consultation,CLAIR,Formulaire = outil,,,keep,É3,Sondages et outils de collecte,Formulaires et sondages structurés pour recueillir des données auprès des membres.,Structured forms and surveys to gather data from members.,Ce n'est pas de l'évaluation — c'est un outil de collecte de données / consultation. Appartient à Consultation & Écoute.,,,oui,en cours
PD-EDIA-OS1-b,Principe directeur : EDIA,Favoriser une culture inclusive et respectueuse,Établir une définition commune de l'EDIA pour le RSN,Establish a shared definition of EDIA for the RSN,Guides & Outils,CLAIR,Définition commune = guide,,,keep,G2,Lexique RSN — Définitions communes,Établir une définition partagée pour chacun des principes directeurs du RSN. Tous les principes devraient être représentés.,Establish a shared definition for each RSN guiding principle. All principles should be represented.,,,,oui,non démarré
PD-EDIA-OS1-c,Principe directeur : EDIA,Favoriser une culture inclusive et respectueuse,"Mettre en évidence les bénéfices concrets de l'EDIA (p. ex. dans l'enseignement, les pratiques de gouvernance, l'accueil des populations vulnérables)","Highlight concrete EDIA benefits (e.g. in teaching, governance practices, welcoming vulnerable populations)",Guides & Outils,CLAIR,Indicateurs + exemples concrets = grille d'impact EDIA,Développer des indicateurs et exemples concrets pour mesurer et démontrer l'impact de l'EDIA dans les projets RSN,"Highlight concrete EDIA benefits (e.g. in teaching, governance practices, welcoming vulnerable populations)",rewrite,G3,Grilles de référence par principe directeur,"Pour chaque principe directeur, produire UNE grille de référence couvrant à la fois les critères d'intégration dans les projets ET les indicateurs de mesure d'impact.","For each guiding principle, produce ONE reference grid covering both project-integration criteria AND impact indicators.",Reformulée pour aligner sur le périmètre G3 (indicateurs + exemples d'impact). Fusion potentielle avec OS3-a à proposer à l'équipe (les deux portent sur les bénéfices/impact EDIA).,,,oui,non démarré
PD-EDIA-OS1-d,Principe directeur : EDIA,Favoriser une culture inclusive et respectueuse,"Recenser les outils et ressources disponibles (notamment via les centres SSA, CEPPP, etc.)","Inventory available tools and resources (notably via SSA centres, CEPPP, etc.)",Répertoires & Cartographie,CLAIR,Recenser outils = répertoire,,,,R3,Répertoire des outils et ressources thématiques,"Inventaire des outils, méthodes et ressources existants par thématique transversale (EDIA, engagement citoyen, science ouverte, etc.).","Inventory of existing tools, methods and resources by cross-cutting theme (EDIA, citizen engagement, open science, etc.).",,,,oui,en cours
PD-EDIA-OS2-a,Principe directeur : EDIA,Assurer l'équité dans le processus de dotation des organisations,Sensibiliser les membres du réseau à l'importance d'un recrutement et d'une formation équitables,Raise network members' awareness of the importance of equitable recruitment and training,Formation & Relève,CLAIR,Sensibilisation des membres = ressource éducative interne,,,keep,F1,Formations et ressources éducatives,"Capsules, webinaires, guides pratiques et ressources en ligne créées par le RSN.","Modules, webinars, practical guides and online resources created by the RSN.","Action restaurée à sa formulation originale et déplacée de C7-2 vers C4-1. La sensibilisation cible les membres internes du réseau (pas un public externe), donc relève des ressources éducatives RSN.",,,oui,non démarré
PD-EDIA-OS2-b,Principe directeur : EDIA,Assurer l'équité dans le processus de dotation des organisations,Développer ou adapter un outil d'évaluation EDIA des processus organisationnels (avec une dimension recrutement),Develop or adapt an EDIA assessment tool for organizational processes (with a recruitment dimension),Guides & Outils,CLAIR,Outil d'évaluation = guide,,,keep,G3,Grilles de référence par principe directeur,"Pour chaque principe directeur, produire UNE grille de référence couvrant à la fois les critères d'intégration dans les projets ET les indicateurs de mesure d'impact.","For each guiding principle, produce ONE reference grid covering both project-integration criteria AND impact indicators.",Contribue à la grille EDIA — dimension évaluation des processus.,,,oui,non démarré
PD-EDIA-OS2-c,Principe directeur : EDIA,Assurer l'équité dans le processus de dotation des organisations,"Inclure des critères EDIA dans les procédures d'évaluation existantes, notamment en ce qui concerne les rapports de performance des axes","Include EDIA criteria in existing evaluation procedures, in particular axis performance reports",Guides & Outils,CLAIR,Intégration de critères EDIA dans les procédures gouvernance des axes,,,keep,G3,Grilles de référence par principe directeur,"Pour chaque principe directeur, produire UNE grille de référence couvrant l'ensemble des engagements RSN.","For each guiding principle, produce ONE reference grid covering all RSN commitments.",Action restaurée à sa formulation originale (la réécriture précédente avait perdu la précision « rapports de performance des axes »). Fusion potentielle avec OS2-b et OS3-b à proposer à l'équipe (cadre EDIA multi-niveaux : organisationnel + gouvernance + projet).,,,oui,non démarré
PD-EDIA-OS3-a,Principe directeur : EDIA,Encourager la diversité des approches de recherche et de méthodologies,Mettre en évidence les bénéfices de l'intégration de l'EDIA dans la recherche (démonstration par l'exemple),Highlight the benefits of integrating EDIA in research (lead by example),Guides & Outils,CLAIR,Démonstration par l'exemple = études de cas / indicateurs d'impact,,,keep,G3,Grilles de référence par principe directeur,"Pour chaque principe directeur, produire UNE grille de référence couvrant à la fois les critères d'intégration dans les projets ET les indicateurs de mesure d'impact.","For each guiding principle, produce ONE reference grid covering both project-integration criteria AND impact indicators.",Action restaurée à sa formulation originale. Fusion potentielle avec OS1-c (les deux portent sur les bénéfices/impact EDIA) à proposer à l'équipe dans le mail.,,,oui,non démarré
PD-EDIA-OS3-b,Principe directeur : EDIA,Encourager la diversité des approches de recherche et de méthodologies,Prévoir l'observation et l'évaluation à court terme de l'EDIA dès la conception des projets,Plan for short-term EDIA observation and evaluation from project design,Guides & Outils,CLAIR,Évaluation EDIA dès la conception = composante projet du cadre EDIA,,,keep,G3,Grilles de référence par principe directeur,"Pour chaque principe directeur, produire UNE grille de référence couvrant à la fois les critères d'intégration dans les projets ET les indicateurs de mesure d'impact.","For each guiding principle, produce ONE reference grid covering both project-integration criteria AND impact indicators.",Action restaurée à sa formulation originale (la réécriture précédente avait perdu « dès la conception » qui est critique pour le timing). Fusion potentielle avec OS2-b et OS2-c à proposer à l'équipe (cadre EDIA multi-niveaux : organisationnel + gouvernance + projet).,,,oui,non démarré
GAP-DEF-SCI,Principe directeur : Science ouverte,—,Définition commune de la Science ouverte pour le RSN,Shared definition of Open Science for the RSN,Guides & Outils,,,,,gap,G2,Lexique RSN — Définitions communes,Établir une définition partagée pour chacun des principes directeurs du RSN.,Establish a shared definition for each RSN guiding principle.,Absent du fichier source. Tous les principes directeurs devraient avoir une définition dans ce projet — Science ouverte manque.,,,non,non démarré
GAP-DEF-ENG,Principe directeur : Engagement citoyen,—,Définition commune de l'Engagement citoyen pour le RSN,Shared definition of Citizen Engagement for the RSN,Guides & Outils,,,,,gap,G2,Lexique RSN — Définitions communes,Établir une définition partagée pour chacun des principes directeurs du RSN.,Establish a shared definition for each RSN guiding principle.,Gap créé suite au déplacement de PD-ENG-OS3-a vers G1 : l'action originale ne portait pas sur la définition mais sur les modalités. Une définition d'« Engagement citoyen » reste à produire pour le lexique RSN.,,,non,non démarré
GAP-GR-SCI,Principe directeur : Science ouverte,—,Développer une grille de référence Science ouverte — critères et indicateurs,Develop an Open Science reference grid — criteria and indicators,Guides & Outils,,,,,gap,G3,Grilles de référence par principe directeur,"Pour chaque principe directeur, produire UNE grille de référence.","For each guiding principle, produce ONE reference grid.",À créer sur le modèle de la grille Numérique de confiance.,,,non,non démarré
GAP-GR-DUR,Principe directeur : Santé durable,—,Développer une grille de référence Santé durable — critères et indicateurs,Develop a Sustainable Health reference grid — criteria and indicators,Guides & Outils,,,,,gap,G3,Grilles de référence par principe directeur,"Pour chaque principe directeur, produire UNE grille de référence.","For each guiding principle, produce ONE reference grid.",À créer sur le modèle de la grille Numérique de confiance.,,,non,non démarré
GAP-GR-ENG,Principe directeur : Engagement citoyen,—,Développer une grille de référence Engagement citoyen — critères et indicateurs,Develop a Citizen Engagement reference grid — criteria and indicators,Guides & Outils,,,,,gap,G3,Grilles de référence par principe directeur,"Pour chaque principe directeur, produire UNE grille de référence.","For each guiding principle, produce ONE reference grid.",À créer sur le modèle de la grille Numérique de confiance.,,,non,non démarré
EXT-HACK-2025,Axe 2 / Formation interdisciplinaire,—,Organisation du Hackathon en santé numérique 2025,Hosting of the Digital Health Hackathon 2025,Événements & Rayonnement,CLAIR,Projet externe réalisé par l'Axe 2,,,keep,Év1,Événements organisés par le RSN,"Colloques, journées thématiques, ateliers et événements produits ou co-produits par le réseau.","Colloquia, thematic days, workshops and events produced or co-produced by the network.",Projet externe — non lié à un objectif stratégique spécifique.,,,non,terminé
EXT-COLLOQ,Axe 2 : Modélisation et méthodes numériques,—,Organisation du colloque sur les méthodes quantitatives en santé,Hosting of the colloquium on quantitative methods in health,Événements & Rayonnement,CLAIR,Projet externe réalisé par l'Axe 2,,,keep,Év1,Événements organisés par le RSN,"Colloques, journées thématiques, ateliers et événements produits ou co-produits par le réseau.","Colloquia, thematic days, workshops and events produced or co-produced by the network.",Projet externe — non lié à un objectif stratégique spécifique.,,,non,terminé
EXT-MATHSANTE,Axe 2 / Formation interdisciplinaire,—,Participation au semestre thématique mathématiques et santé,Participation in the thematic semester on mathematics and health,Formation & Relève,CLAIR,Projet externe porté par l'Axe 2,,,keep,F2,Événements et programmes de formation,"Participations à des programmes structurés externes (FONCER, semestre thématique).","Participation in external structured programs (FONCER, thematic semester).",Projet externe — non lié à un objectif stratégique spécifique.,,,non,en cours
EXT-FONCER,Axe 2 / Formation interdisciplinaire,—,Participation au programme FONCER-Biostat,Participation in the FONCER-Biostat program,Formation & Relève,CLAIR,Projet externe porté par l'Axe 2,,,keep,F2,Événements et programmes de formation,"Participations à des programmes structurés externes (FONCER, semestre thématique).","Participation in external structured programs (FONCER, thematic semester).",Projet externe — non lié à un objectif stratégique spécifique.,,,non,en cours
EXT-SMASH-2026,Axe 2 : Modélisation et méthodes numériques,—,Commandite du symposium SMASH 2026,Sponsorship of the SMASH 2026 symposium,Événements & Rayonnement,CLAIR,Commandite d'un événement externe — réalisation associée à l'Axe 2 (signalée par Audrey Durand).,,,keep,Év2,Participations et interventions externes,"Présence du RSN dans des événements organisés par d'autres : congrès, partenaires, industrie.","RSN presence at events hosted by others: conferences, partners, industry.",Ajouté suite au retour d'Audrey Durand (juin 2026).,,,non,terminé
EXT-VHDC-2026,Axe 2 : Modélisation et méthodes numériques,—,Commandite de l'atelier Annual Meeting of the Virtual Human Development Consortium,Sponsorship of the Annual Meeting of the Virtual Human Development Consortium workshop,Événements & Rayonnement,CLAIR,Commandite d'un atelier externe — réalisation associée à l'Axe 2 (signalée par Morgan Craig).,,,keep,Év2,Participations et interventions externes,"Présence du RSN dans des événements organisés par d'autres : congrès, partenaires, industrie.","RSN presence at events hosted by others: conferences, partners, industry.",Ajouté suite au retour de Morgan Craig (juin 2026).,,,non,terminé
GAP-R2-EDIA,Principe directeur : EDIA,—,Inventorier les formations existantes en EDIA,Inventory existing EDIA training programs,Répertoires & Cartographie,,,,,gap,R2,Inventaire des formations en santé numérique,"Inventaire structuré des programmes de formation existants en santé numérique, avec analyse du paysage et des lacunes.","Structured inventory of existing training programs in digital health, with landscape and gap analysis.",PD EDIA absent de R2. L'offre de formation en EDIA devrait être cartographiée dans l'inventaire.,,,non,non démarré
GAP-R3-CONF,Principe directeur : Numérique de confiance,—,"Recenser les outils, cadres et standards existants en confiance numérique","List existing tools, frameworks and standards in trustworthy digital",Répertoires & Cartographie,,,,,gap,R3,Répertoire des outils et ressources thématiques,"Inventaire des outils, méthodes et ressources existants par thématique transversale (EDIA, engagement citoyen, science ouverte, etc.).","Inventory of existing tools, methods and resources by cross-cutting theme (EDIA, citizen engagement, open science, etc.).","PD Numérique de confiance absent de R3. De nombreux cadres/standards internationaux existent (ISO, NIST, etc.).",,,non,non démarré
